"Notice publication number","Publication date",Title,"Official name","Type of procedure","The contract is awarded within a framework agreement","Identifier of the contract",Title,"Lot technical ID","Number of tenders or requests to participate received","Contractor awarded","Value of the tender","Value of the lowest admissible tender","Value of the highest admissible tender",Currency
465050-2025,"16/07/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,"no, no, no, no",,,LOT-0004,,"Not Awarded",," "," ",
465050-2025,"16/07/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,"no, no, no, no",,,LOT-0005,,"Not Awarded",," "," ",
465050-2025,"16/07/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,"no, no, no, no","EC-HR/2024/OP/0111-Lot 6","Contract Lot 6",LOT-0006,,"CLL Centres de Langues---ALLINGUA ASBL","5,59",,,EUR
465050-2025,"16/07/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,"no, no, no, no","EC-HR/2024/OP/0111-Lot 6","Contract Lot 6",LOT-0006,,"BERLITZ LANGUAGE AND BUSINESS TRAINING SARL---Berlitz Schools of Languages B.V.---Berlitz Language Services Scandinavia NUF---ESCUELAS DE IDIOMAS BERLITZ DE ESPAÑA SA---BERLITZ LANGUAGE CENTERS S.R.L.---Berlitz Language Services Scandinavia A S Filial I Finland---Berlitz International Sweden AB---Berlitz Language Services Scandinavia A/S","4,95",,,EUR
465050-2025,"16/07/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,"no, no, no, no",,,LOT-0007,,"Not Awarded",," "," ",
465050-2025,"16/07/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,"no, no, no, no",,,LOT-0008,,"Not Awarded",," "," ",
465050-2025,"16/07/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,"no, no, no, no","EC-HR/2024/OP/0111-Lot 9","Contract Lot 9",LOT-0009,,"BERLITZ LANGUAGE AND BUSINESS TRAINING SARL---Berlitz Schools of Languages B.V.---Berlitz Language Services Scandinavia NUF---ESCUELAS DE IDIOMAS BERLITZ DE ESPAÑA SA---BERLITZ LANGUAGE CENTERS S.R.L.---Berlitz Language Services Scandinavia A S Filial I Finland---Berlitz International Sweden AB---Berlitz Language Services Scandinavia A/S",," "," ",
465050-2025,"16/07/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,"no, no, no, no","EC-HR/2024/OP/0111-Lot 10","Contract Lot 10",LOT-0010,,"BERLITZ LANGUAGE AND BUSINESS TRAINING SARL---Berlitz Schools of Languages B.V.---Berlitz Language Services Scandinavia NUF---ESCUELAS DE IDIOMAS BERLITZ DE ESPAÑA SA---BERLITZ LANGUAGE CENTERS S.R.L.---Berlitz Language Services Scandinavia A S Filial I Finland---Berlitz International Sweden AB---Berlitz Language Services Scandinavia A/S",," "," ",
465050-2025,"16/07/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,"no, no, no, no","EC-HR/2024/OP/0111-Lot 10","Contract Lot 10",LOT-0010,,"Openfive SL",," "," ",
465050-2025,"16/07/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,"no, no, no, no",,,LOT-0011,,"Not Awarded",," "," ",
465050-2025,"16/07/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,"no, no, no, no","EC-HR/2024/OP/0111-Lot 12","Contract Lot 12",LOT-0012,,"BERLITZ LANGUAGE AND BUSINESS TRAINING SARL---Berlitz Schools of Languages B.V.---Berlitz Language Services Scandinavia NUF---ESCUELAS DE IDIOMAS BERLITZ DE ESPAÑA SA---BERLITZ LANGUAGE CENTERS S.R.L.---Berlitz Language Services Scandinavia A S Filial I Finland---Berlitz International Sweden AB---Berlitz Language Services Scandinavia A/S",," "," ",
465644-2025,"16/07/2025 (UTC+02)","Belgium – Supply services of personnel including temporary staff – Services de mise à disposition de personnel intérimaire pour les services de restauration et les structures d’accueil de l’enfance de la Commission européenne à Bruxelles et sa périphérie","Commission européenne",Open,,"EC-OIB/2025/OP/0006/C1/L1",,LOT-0001,,AIB,," "," ",
465644-2025,"16/07/2025 (UTC+02)","Belgium – Supply services of personnel including temporary staff – Services de mise à disposition de personnel intérimaire pour les services de restauration et les structures d’accueil de l’enfance de la Commission européenne à Bruxelles et sa périphérie","Commission européenne",Open,,"EC-OIB/2025/OP/0006/C2/L1",,LOT-0001,,"Start People",," "," ",
465644-2025,"16/07/2025 (UTC+02)","Belgium – Supply services of personnel including temporary staff – Services de mise à disposition de personnel intérimaire pour les services de restauration et les structures d’accueil de l’enfance de la Commission européenne à Bruxelles et sa périphérie","Commission européenne",Open,,"EC-OIB/2025/OP/0006/C3/L1",,LOT-0001,,ASAP.be,," "," ",
465644-2025,"16/07/2025 (UTC+02)","Belgium – Supply services of personnel including temporary staff – Services de mise à disposition de personnel intérimaire pour les services de restauration et les structures d’accueil de l’enfance de la Commission européenne à Bruxelles et sa périphérie","Commission européenne",Open,,"EC-OIB/2025/OP/0006/C1/L2",,LOT-0002,,AIB,," "," ",
465644-2025,"16/07/2025 (UTC+02)","Belgium – Supply services of personnel including temporary staff – Services de mise à disposition de personnel intérimaire pour les services de restauration et les structures d’accueil de l’enfance de la Commission européenne à Bruxelles et sa périphérie","Commission européenne",Open,,"EC-OIB/2025/OP/0006/C2/L2",,LOT-0002,,ASAP.be,," "," ",
465644-2025,"16/07/2025 (UTC+02)","Belgium – Supply services of personnel including temporary staff – Services de mise à disposition de personnel intérimaire pour les services de restauration et les structures d’accueil de l’enfance de la Commission européenne à Bruxelles et sa périphérie","Commission européenne",Open,,"EC-OIB/2025/OP/0006/C3/L2",,LOT-0002,,"Start People",," "," ",
466443-2025,"17/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – DIGIT-TM II Lot 2 and 3 Ceiling increase","European Commission, DG DIGIT - Digital Services","Negotiated without prior call for competition",,"AMD 7953-06",,LOT-0001,,"TALAN Luxembourg sarl---Edda Luxembourg---Tremend Software Consulting S.R.L.---CGI Luxembourg SA---WAVESTONE---CGI BELGIUM NV",," "," ",
466443-2025,"17/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – DIGIT-TM II Lot 2 and 3 Ceiling increase","European Commission, DG DIGIT - Digital Services","Negotiated without prior call for competition",,"AMD 7952-11",,LOT-0001,,"Sogeti Luxembourg S.A.---WESTPOLE Belgium NV---COSMOTE GLOBAL SOLUTIONS N.V.---Netcompany S.A.---Fujitsu Technology Solutions N.V.---Capgemini Belgium N.V.---Serco Belgium S.A---Computer Task Group IT Solutions S.A.---AlmavivA de Belgique S.A.---NTT DATA Belgique SRL",," "," ",
466443-2025,"17/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – DIGIT-TM II Lot 2 and 3 Ceiling increase","European Commission, DG DIGIT - Digital Services","Negotiated without prior call for competition",,"AMD 7949-07",,LOT-0001,,"Cegeka Groep NV.---SWORD Technologies S.A---Cronos Europa Luxembourg S.A.---ARHS Developments S.A.",," "," ",
466443-2025,"17/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – DIGIT-TM II Lot 2 and 3 Ceiling increase","European Commission, DG DIGIT - Digital Services","Negotiated without prior call for competition",,"AMD 7948-10",,LOT-0001,,"VASS EU Services SA---Engineering International Belgium S.A.---Sopra Steria Belgium---Unisys Belgium---Eviden Belgium NV---Network Research Belgium (NRB) S.A.---Unisystems Luxembourg S.a.r.l.",," "," ",
466443-2025,"17/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – DIGIT-TM II Lot 2 and 3 Ceiling increase","European Commission, DG DIGIT - Digital Services","Negotiated without prior call for competition",,"AMD 7951-07",,LOT-0001,,"Twenty8---DAVIDSON CONSULTING---Amaris IS&D---TWENTY8 Luxembourg",," "," ",
466443-2025,"17/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – DIGIT-TM II Lot 2 and 3 Ceiling increase","European Commission, DG DIGIT - Digital Services","Negotiated without prior call for competition",,"AMD 7950-07",,LOT-0001,,"SEIDOR SA---FINCONS S.P.A.---European Dynamics Advanced Information Technology and Telecommunications Systems SA---EUROPEAN DYNAMICS LUXEMBOURG SA",," "," ",
466443-2025,"17/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – DIGIT-TM II Lot 2 and 3 Ceiling increase","European Commission, DG DIGIT - Digital Services","Negotiated without prior call for competition",,"AMD 7958-07",,LOT-0002,,"IBM (International Business Machines) Belgium BV/SRL---Thaleria SA---Cegeka Groep NV.---SWORD Technologies S.A---Cronos Europa Luxembourg S.A.---ARHS Developments S.A.",," "," ",
466443-2025,"17/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – DIGIT-TM II Lot 2 and 3 Ceiling increase","European Commission, DG DIGIT - Digital Services","Negotiated without prior call for competition",,"AMD 7956-09",,LOT-0002,,"VASS EU Services SA---Engineering International Belgium S.A.---Sopra Steria Belgium---Unisys Belgium---Eviden Belgium NV---Network Research Belgium (NRB) S.A.---Unisystems Luxembourg S.a.r.l.",," "," ",
466443-2025,"17/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – DIGIT-TM II Lot 2 and 3 Ceiling increase","European Commission, DG DIGIT - Digital Services","Negotiated without prior call for competition",,"AMD 7955-07",,LOT-0002,,"SEIDOR SA---FINCONS S.P.A.---European Dynamics Advanced Information Technology and Telecommunications Systems SA---EUROPEAN DYNAMICS LUXEMBOURG SA",," "," ",
466443-2025,"17/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – DIGIT-TM II Lot 2 and 3 Ceiling increase","European Commission, DG DIGIT - Digital Services","Negotiated without prior call for competition",,"AMD 7962-09",,LOT-0002,,"Bechtle NV",," "," ",
466443-2025,"17/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – DIGIT-TM II Lot 2 and 3 Ceiling increase","European Commission, DG DIGIT - Digital Services","Negotiated without prior call for competition",,"AMD 7961-08",,LOT-0002,,"Sogeti Luxembourg S.A.---WESTPOLE Belgium NV---COSMOTE GLOBAL SOLUTIONS N.V.---Netcompany S.A.---Fujitsu Technology Solutions N.V.---Capgemini Belgium N.V.---Serco Belgium S.A---Computer Task Group IT Solutions S.A.---AlmavivA de Belgique S.A.---NTT DATA Belgique SRL",," "," ",
466443-2025,"17/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – DIGIT-TM II Lot 2 and 3 Ceiling increase","European Commission, DG DIGIT - Digital Services","Negotiated without prior call for competition",,"AMD 7960-08",,LOT-0002,,"BRAYTON GLOBAL SRL---Avanade Belgium SPRL/BVBA---MALT COMMUNITY---Accenture SA/NV",," "," ",
466443-2025,"17/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – DIGIT-TM II Lot 2 and 3 Ceiling increase","European Commission, DG DIGIT - Digital Services","Negotiated without prior call for competition",,"AMD 7959-06",,LOT-0002,,"TALAN Luxembourg sarl---Edda Luxembourg---Tremend Software Consulting S.R.L.---CGI Luxembourg SA---WAVESTONE---CGI BELGIUM NV",," "," ",
